0,n02389026
1,n03888257
2,n03584829
3,n02607072
4,n03297495
5,n03063599
6,n03792782
7,n04086273
8,n02510455
9,n11939491
10,n02951358
11,n02281787
12,n02106662
13,n04120489
14,n03590841
15,n02992529
16,n03445777
17,n03180011
18,n02906734
19,n07873807
20,n03773504
21,n02492035
22,n03982430
23,n03709823
24,n03100240
25,n03376595
26,n03877472
27,n03775071
28,n03272010
29,n04069434
30,n03452741
31,n03792972
32,n07753592
33,n13054560
34,n03197337
35,n02504458
36,n02690373
37,n03272562
38,n04044716
39,n02124075
